ID,DOB,Sex,Strain,Date,CA (%),Weight,Daily Change,Total Change,General Digging?,Nest Made?,Lethargy?,Anxious Behaviors?,CA Spot Digging?
R10,8/10/2025,M,Bl/6,10/15/2025,3%,23.4,0.86,-10.69,No,Yes,Yes,No,No
R10,8/10/2025,M,Bl/6,10/16/2025,3%,23.3,-0.43,-11.07,No,No,No,No,No
R10,8/10/2025,M,Bl/6,10/17/2025,4%,22.5,-3.43,-14.12,No,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/18/2025,4%,22.3,-0.89,-14.89,No,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/19/2025,4%,22.4,0.45,-14.5,No,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/5/2025,0%,32.0,0.0,0.0,No,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/6/2025,0%,32.1,0.31,0.31,No,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/7/2025,0%,32.0,-0.31,0.0,No,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/8/2025,1%,31.4,-1.88,-1.88,No,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/9/2025,1%,31.0,-1.27,-3.13,Yes,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/10/2025,1%,29.8,-3.87,-6.88,Yes,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/11/2025,2%,29.3,-1.68,-8.44,No,No,Yes,No,No
R12,8/10/2025,M,Bl/6,10/12/2025,2%,28.9,-1.37,-9.69,Yes,No,Yes,No,No
R12,8/10/2025,M,Bl/6,10/13/2025,2%,28.7,-0.69,-10.31,No,Yes,Yes,No,No
R12,8/10/2025,M,Bl/6,10/14/2025,3%,27.9,-2.79,-12.81,No,Yes,Yes,No,No
R12,8/10/2025,M,Bl/6,10/15/2025,3%,27.6,-1.08,-13.75,No,Yes,Yes,No,No
R12,8/10/2025,M,Bl/6,10/16/2025,3%,27.7,0.36,-13.44,No,No,No,No,No
R12,8/10/2025,M,Bl/6,10/17/2025,4%,26.9,-2.89,-15.94,No,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/18/2025,4%,26.9,0.0,-15.94,No,Yes,No,No,No
R12,8/10/2025,M,Bl/6,10/19/2025,4%,26.8,-0.37,-16.25,No,Yes,No,No,No
